company_code1|company_code2|cst_no|open_time|close_time|acc_name|cst_sex|nation|id_type|id_no|id_deadline|occupation_code|occupation|income|contact1|contact2|contact3|address1|address2|address3|company|sys_name|pt
"33640000"|"F1008933000020"|"11200028475093749050900005"|"20180106"|"20190717"|"许露露"|"12"|"CHN"|"13"|"84750937490509"|"null"|"null"|"null"|"null"|"13781118388"|"null"|"null"|"中国福建省龙岩市新罗区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200024315145140000000000"|"20180727"|"20191003"|"魏无羡"|"11"|"CHN"|"13"|"431514514"|"null"|"02"|"null"|"null"|"13920251057"|"null"|"null"|"中国福建省三明市尤溪县"|"null"|"null"|"通天塔"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200038965089790579000007"|"20180106"|"20181207"|"许露露"|"11"|"CHN"|"12"|"89650897905790"|"null"|"null"|"null"|"null"|"13781118382"|"null"|"null"|"中国福建省福州市台江区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200028797907000000000000"|"20181207"|"20181207"|"许露露"|"null"|"CHN"|"13"|"8797907"|"null"|"null"|"null"|"null"|"13920251057"|"null"|"null"|"中国福建省福州市晋安区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200028937503479050000005"|"20181207"|"20181230"|"许露露"|"11"|"CHN"|"13"|"893750347905"|"null"|"null"|"null"|"null"|"13781118388"|"null"|"null"|"中国福建省莆田市城厢区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200034856840375903090003"|"20181107"|"20181208"|"许露露"|"11"|"CHN"|"12"|"485684037590309"|"null"|"null"|"null"|"null"|"13781118388"|"null"|"null"|"中国北京市大兴区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200026414514510000000000"|"20190312"|"20190620"|"蓝忘机"|"null"|"CHN"|"13"|"641451451"|"null"|"null"|"null"|"null"|"18904746657"|"null"|"null"|"中国福建省福州市福清市15414"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200028537904750434000007"|"20181112"|"20181213"|"许露露"|"11"|"CHN"|"13"|"8537904750434"|"null"|"null"|"null"|"null"|"13781118388"|"null"|"null"|"中国北京市丰台区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200028000000690000000000"|"20190101"|"20190220"|"许露露"|"null"|"CHN"|"13"|"8000000690"|"null"|"null"|"null"|"null"|"13781118388"|"null"|"null"|"中国北京市丰台区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200032121122000000000000"|"20181215"|"20181215"|"咋啊啊"|"null"|"CHN"|"12"|"2121122"|"null"|"null"|"null"|"null"|"17710497098"|"null"|"null"|"中国北京市大兴区"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200022134512323000000000"|"20171223"|"20190112"|"软通ZH"|"null"|"CHN"|"13"|"2134512323"|"null"|"11"|"null"|"null"|"14423231141"|"null"|"null"|"中国福建省漳州市云霄县223114"|"null"|"null"|"二"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200021244412300000000000"|"20171223"|"20190919"|"许露露"|"11"|"CHN"|"13"|"12444123"|"null"|"00"|"null"|"null"|"14423231141"|"null"|"null"|"中国甘肃省酒泉市肃北蒙古族自治县22341"|"null"|"null"|"测试"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200022343546576879800006"|"20190726"|"20190814"|"杨成松"|"null"|"CHN"|"13"|"234354657687980"|"null"|"null"|"null"|"null"|"13343333433"|"null"|"null"|"中国安徽省黄山市休宁县"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200034573689436589500004"|"20190912"|"20190912"|"许露露"|"null"|"CHN"|"12"|"45736894365895"|"null"|"null"|"null"|"null"|"13781118833"|"null"|"null"|"中国福建省福州市台江区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200021234567890000000000"|"20171224"|"20191012"|"1"|"null"|"CHN"|"13"|"1234567890"|"null"|"null"|"null"|"null"|"13343333221"|"null"|"null"|"中国安徽省黄山市休宁县"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200022134567890000000000"|"20171224"|"20190529"|"noodles"|"null"|"CHN"|"13"|"213456789"|"null"|"14"|"null"|"null"|"13422222222"|"null"|"null"|"中国福建省福州市平潭县2345"|"null"|"null"|"让他问"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200022345678000000000000"|"20171222"|"20190615"|"大胖"|"null"|"CHN"|"13"|"2345678"|"null"|"10"|"null"|"null"|"13023231396"|"null"|"null"|"中国福建省泉州市安溪县234"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200021244132000000000000"|"20171224"|"20200101"|"软通太平"|"null"|"CHN"|"13"|"1244132"|"null"|"11"|"null"|"null"|"14423231141"|"null"|"null"|"中国福建省泉州市德化县123大大"|"null"|"null"|"玉藻前葫芦兄弟黑科技股份有限公司"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200011101011990051801187"|"20181221"|"20190123"|"山山"|"11"|"CHN"|"11"|"110101199005180118"|"null"|"null"|"null"|"null"|"18903367845"|"null"|"null"|"中国福建省福州市仓山区"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200025465768767564000001"|"20180531"|"20190906"|"杨成松"|"11"|"CHN"|"13"|"5465768767564"|"20200528"|"01"|"null"|"null"|"13343333233"|"null"|"null"|"中国贵州省黔东南苗族侗族自治州丹寨县1234"|"null"|"null"|"测试数据"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200021845463422000000000"|"20190701"|"20190801"|"没有用过的客户丶丶丶a"|"null"|"CHN"|"13"|"1845463422"|"20200528"|"05"|"null"|"null"|"13343333233"|"null"|"null"|"中国贵州省黔东南苗族侗族自治州丹寨县1234"|"null"|"null"|"k'j'j'h'f'g"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200024105231993122200370"|"20190919"|"20200422"|"测试汑腤"|"11"|"CHN"|"13"|"410523199312220037"|"null"|"null"|"null"|"null"|"18217276943"|"null"|"null"|"天津市天津市和平区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200012101011980010100143"|"20190919"|"20200422"|"测试朝阳"|"11"|"CHN"|"11"|"210101198001010014"|"null"|"02"|"null"|"null"|"18217276943"|"null"|"null"|"天津市天津市和平区测试"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200013301011990030101672"|"20190912"|"20190912"|"回归一"|"12"|"CHN"|"11"|"330101199003010167"|"null"|"null"|"null"|"null"|"18162318936"|"null"|"null"|"山西省 太原市 市辖区万塘路万塘路242号"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200013301011990030101328"|"20190912"|"20190912"|"配偶一"|"11"|"CHN"|"11"|"330101199003010132"|"null"|"00"|"null"|"null"|"18754654564"|"null"|"null"|"内蒙古自治区 呼和浩特市 市辖区呼伦贝尔大草原上的1个小茅屋有5000头羊"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200011101011980010100537"|"20190523"|"20191012"|"猪猪猪啊"|"11"|"CHN"|"11"|"110101198001010053"|"null"|"00"|"null"|"null"|"18217276943"|"null"|"null"|"北京市 市辖区 东城区ggggg考虑考虑"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200011401011980010100597"|"20190919"|"20191012"|"猪猪猪啊"|"11"|"CHN"|"11"|"140101198001010059"|"null"|"00"|"null"|"null"|"18217276943"|"null"|"null"|"北京市 市辖区 东城区ggggg考虑考虑"|"null"|"null"|"null"|"null"|"20191013000000"
"99730000"|"F1008933000019"|"11200011101011968030758106"|"20190623"|"20191023"|"蚕宝宝"|"11"|"CHN"|"11"|"110101196803075810"|"null"|"06"|"null"|"null"|"18217276943"|"null"|"null"|"北京市 市辖区 东城区ggggg"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200014211221991042158446"|"20190922"|"20190922"|"人司信"|"12"|"CHN"|"11"|"421122199104215844"|"null"|"08"|"null"|"null"|"18186042114"|"null"|"null"|"湖北省 黄冈市 红安县高桥镇余家边村朱家湾"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200011309841990080403380"|"20190922"|"20190922"|"去测哈"|"11"|"CHN"|"11"|"130984199008040338"|"null"|"15"|"null"|"null"|"15292897155"|"null"|"null"|"河北省 沧州市 河间市沙河桥镇方官庄村"|"null"|"null"|"null"|"null"|"20191013000000"
"33640000"|"F1008933000020"|"11200012323011986072331128"|"20190922"|"20190922"|"限份有"|"11"|"CHN"|"11"|"232301198607233112"|"null"|"15"|"null"|"null"|"18245162073"|"null"|"null"|"黑龙江省 哈尔滨市 道外区南五道街205号"|"null"|"null"|"null"|"null"|"20191013000000"
