company_code1|company_code2|company_code3|company_code4|pol_no|app_no|ins_date|eff_date|app_name|app_cst_no|app_id_no|app_cus_pro|ins_name|ins_cst_no|ins_id_no|ins_cus_pro|benefit_name|benefit_id_no|benefit_type|relation_1|relation_2|cla_app_name|cla_id_type|cla_id_no|cla_pro|cla_date|pay_date|cur_code|cla_amt|cla_usd_amt|cla_no|tsf_flag|acc_name|acc_no|acc_bank|acc_type|acc_id_type|acc_id_no|receipt_no|pt
"99730000"|"F1008933000019"|""|""|"P997306001201800000003"|"T997306001201800000003"|"20180307"|"20180308"|"阿斯蒂芬09"|"11200091233300000000000000"|"12333"|"11"|"阿斯蒂芬09"|"11200091233300000000000000"|"12333"|"11"|"法定"|"1233"|"11"|"601002"|"601001"|"hy"|""|""|"null"|"20190812"|"null"|""|"6000.00"|"null"|"C000006001201900000085"|"11"|"阿斯蒂芬09"|"000006001201900000085"|"103"|"0"|"13"|"null"|"C000006001201900000085"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997306001201800000009"|"T997306001201800000017"|"20180315"|"20180316"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"张世峰"|"23432423"|"11"|"601005"|"601002"|"王晓"|""|""|"null"|"20190110"|"null"|""|"123.00"|"null"|"C000006001201900000001"|"11"|"UAT测试津贴险保费计算"|"2134754564556"|"105"|"0"|"11"|"null"|"C000006001201900000001"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997306001201800000009"|"T997306001201800000017"|"20180315"|"20180316"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"张世峰"|"23432423"|"11"|"601005"|"601002"|"王晓"|""|""|"null"|"20190110"|"null"|""|"1111.00"|"null"|"C000006001201900000001"|"11"|"UAT测试津贴险保费计算"|"C000006001201900000001"|"103"|"0"|"11"|"null"|"C000006001201900000001"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997306001201800000009"|"T997306001201800000017"|"20180315"|"20180316"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"张三丰"|"324324214"|"11"|"601005"|"601003"|"王晓"|""|""|"null"|"20190110"|"null"|""|"123.00"|"null"|"C000006001201900000001"|"11"|"UAT测试津贴险保费计算"|"2134754564556"|"105"|"0"|"11"|"null"|"C000006001201900000001"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997306001201800000009"|"T997306001201800000017"|"20180315"|"20180316"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"张三丰"|"324324214"|"11"|"601005"|"601003"|"王晓"|""|""|"null"|"20190110"|"null"|""|"1111.00"|"null"|"C000006001201900000001"|"11"|"UAT测试津贴险保费计算"|"C000006001201900000001"|"103"|"0"|"11"|"null"|"C000006001201900000001"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997306001201800000009"|"T997306001201800000017"|"20180315"|"20180316"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"张世峰"|"23432423"|"11"|"601005"|"601002"|"王晓"|""|""|"null"|"20190110"|"null"|""|"123.00"|"null"|"C000006001201900000001"|"11"|"UAT测试津贴险保费计算"|"2134754564556"|"105"|"0"|"11"|"null"|"C000006001201900000001"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997306001201800000009"|"T997306001201800000017"|"20180315"|"20180316"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"张世峰"|"23432423"|"11"|"601005"|"601002"|"王晓"|""|""|"null"|"20190110"|"null"|""|"1111.00"|"null"|"C000006001201900000001"|"11"|"UAT测试津贴险保费计算"|"C000006001201900000001"|"103"|"0"|"11"|"null"|"C000006001201900000001"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997306001201800000009"|"T997306001201800000017"|"20180315"|"20180316"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"张三丰"|"324324214"|"11"|"601005"|"601003"|"王晓"|""|""|"null"|"20190110"|"null"|""|"123.00"|"null"|"C000006001201900000001"|"11"|"UAT测试津贴险保费计算"|"2134754564556"|"105"|"0"|"11"|"null"|"C000006001201900000001"|"20191013000000"
"99730000"|"F1008933000019"|""|""|"P997306001201800000009"|"T997306001201800000017"|"20180315"|"20180316"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"大头"|"11200014401021980031632320"|"440102198003163232"|"11"|"张三丰"|"324324214"|"11"|"601005"|"601003"|"王晓"|""|""|"null"|"20190110"|"null"|""|"1111.00"|"null"|"C000006001201900000001"|"11"|"UAT测试津贴险保费计算"|"C000006001201900000001"|"103"|"0"|"11"|"null"|"C000006001201900000001"|"20191013000000"
"33640000"|"F1008933000020"|""|""|"P336406802201800000001"|"T336406802201800000007"|"20181221"|"20181221"|"山山"|"11200011101011990051801187"|"110101199005180118"|"11"|"大头"|"11200013422111987040678967"|"342211198704067896"|"11"|"大头"|"342211198704067896"|"11"|"null"|"null"|"微信"|""|""|"null"|"20190604"|"null"|""|"1000.00"|"null"|"C000006802201900000004"|"11"|"大头"|"000006802201900000004"|"103"|"0"|"11"|"null"|"C000006802201900000004"|"20191013000000"
